Автор,Место работы автора,Адресат,Специализация адресата,Содержание,Примечание
Дмитриев Р.С.,"ООО ""Знак Огня Тур""",Саликова К.В.,Административный директор,направлен коммерческ предложен организац проведен отборочн межвузовск чемпионат, 
Резник А.П.,"Всероссийский детский центр ""Смена""",Суперекин И.Ю.,Административный директор,-о направлен предложен проект показател программ наслед миров чемпионат профессиональн мастерств город казан 2019 год, 
Калиничев А.А.,"ООО ""РЕГОЛИТ""",Саликова К.В.,Административный директор,направлен коммерческ предложен, 
Волощук Л.В.,"ГПОУ""Сыктывкарский политехнический техникум""",Крайчинская С.Б.,Вопросы повышения квалификации,направлен оригина ил скан-коп свидетельств прав проведен чемпионат стандарт вс рудометкин а.в, 
Опенышева С.В.,Аппарат правительства Ульяновской области,Крайчинская С.Б.,Вопросы повышения квалификации,участ международн конференц цифров экономик региональн аспект качеств спикер 29 сен 2018, 
Ливинский П.А.,"ПАО ""Россети""",Никул Е.В.,Новые компитненции,участ чемпионат EuroSkills Competition 2018, 
Мазуркевич Н.В.,Департамент труда и занятости населения Тюменской области,Уразов Р.Н.,Генеральный директор,направлен соглашен взаимодейств сторон рамк проведен ос 2019-2021гг, 
Мазуркевич Н.В.,Департамент труда и занятости населения Тюменской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен информац проведен заочн голосован вопрос избран председател президиум региональн совет союз, 
Шпильман В.И.,"ООО ""Майс Лайн""",Саликова К.В.,Административный директор,включен соста поставщик услуг сервис предоставлен клиентск групп чемпионат рассмотрен прилага коммерческ предложен, 
Клинк О.Ф.,"АНО ""Национальное агентство развития квалификаций""",Суперекин И.Ю.,Административный директор,направлен предложен программ показател программ наслед миров чемпионат профмастерств г. казан 2019 г, 
Осокина Е.Г.,Региональный координационный центр в Вологодской области,Глушко Д.Е.,Специалист по региональным чемпионатам,изменен срок проведен региональн чемпионат вологодск област, 
Захарова И.,Региональный координационный центр Белгородской области,Глушко Д.Е.,Специалист по региональным чемпионатам,перенос срок проведен региональн чемпионат, 
Губайдуллин Э.Ф.,"АНО ""Дирекция спортивных и социальных проектов""",Саликова К.В.,Административный директор,подписан соглашен взаимодейств сотрудничеств, 
Волощук Л.В.,"ГПОУ""Сыктывкарский политехнический техникум""",Глушко Д.Е.,Специалист по региональным чемпионатам,утвержден срок проведен IV региональн чемпионат республик ком, 
Нуралиев Б.Г.,"Компания ""1С""",Уразов Р.Н.,Генеральный директор,участ фирм 1с WSC2019, 
Собянин С.С.,Правительство Российской Федерации,Уразов Р.Н.,Генеральный директор,мер направлен реализац государствен программ город москв экономическ развит инвестицион привлекательн город москв постановлен правительств 911-пп, 
Кисляков Е.Ю.,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",Уразов Р.Н.,Генеральный директор,предоставлен информац обеспечен использован стандарт ворлдскиллс пр-2582, 
Зайцев А.В.,Правительство Сахалинской области,Саликова К.В.,Административный директор,участ мероприят фина VI национальн чемпионат молод профессионал, 
Пономарев М.,"ООО ""ДМГ МОРИ Рус""",Желковский И.И.,Административный директор,направлен подписа акт приемки-передач оборудован, 
Станиславов Е.А.,Министерство иностранных дел Российской Федерации,Гонтарь М.А.,Поздравления,участ чемпионат EuroSkills Competition 2018, 
Ибрагимов Р.Ш.,Министерство труда и социального развития Республики Дагестан,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Подсадник Л.А.,Правительство Республики Карелия,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Кольгин В.В.,"ООО ""СКАЙЛЭНД""",Мухаметзянов Д.Ф.,Административный директор,жалоб проведен закупочн процедур, 
Степанов И.В.,"АНО по поддержке стратегических инициатив ""Индустрия будущего""",Крайчинская С.Б.,Вопросы повышения квалификации,приглашен открыт пространств коллективн работ точк кипения-якутск, 
Степанов И.В.,"АНО по поддержке стратегических инициатив ""Индустрия будущего""",Уразов Р.Н.,Генеральный директор,приглашен открыт пространств коллективн работ точк кипения-якутск, 
Факторович А.А.,"АНО ""Национальное агентство развития квалификаций""",Крайчинская С.Б.,Вопросы повышения квалификации,предоставлен доступ программ повышен квалификац, 
Юрьева С.Н.,Аппарат Правительства Российской Федерации,Уразов Р.Н.,Генеральный директор,вопрос размещен филиа союз сколков использован возведен инфраструктур посл чемпионат 2019 ог-п8-791, 
Данилов-Данильян А.В.,Общественный совет при Министерстве промышленности и торговли Российской Федерации,Уразов Р.Н.,Генеральный директор,рассмотрен доработа проект утвержден стратег развит индустр детск товар период 2030 год, 
Шпорт В.И.,Правительство Хабаровского края,Уразов Р.Н.,Генеральный директор,участ качеств почетн гост общероссийск конгресс инженер наука-инженер-промышлен 05 06 сен 2018 г. комсомольск-на-амур, 
Игнашкина Н.И.,"АО ""Радиозавод""",Митяева И.В.,Административный директор,направлен акт сверк,акт переда бухгалтер 17.08.2018
Макарьина И.А.,АОУ ВО ДПО Вологодский институт развития образования,Глушко Д.Е.,Специалист по региональным чемпионатам,прием ассоциирова член союз,приложен сшит отсканирова
Злобин С.В.,"Министерство образования, науки и молодежной политики Нижегородской области",Глушко Д.Е.,Специалист по региональным чемпионатам,участ чемпионат европ профессиональн мастерств EuroSkills Budapest 2018, 
Мельников А.В.,36. Министерство внутренних дел Российской Федерации,Гонтарь М.А.,Поздравления,участ чемпионат EuroSkills Competition 2018, 
Шемякина И.В.,СГКУ МО ЦБ МО,Митяева И.В.,Административный директор,направлен акт сверк, 
Латыпова Е.В.,"Корпорация ""Российский учебник""",Уразов Р.Н.,Генеральный директор,приглашен делов программ форум город образован, 
Сухова И.И.,"ЗАО ""МинскЭкспо""","Недоспасова О.В.
Глушко Д.Е.",Административный директор,участ международн выставк автосервис механик автокомпонент 2018, 
Лейбович А.Н.,Национальное агентство развития квалификации,Уразов Р.Н.,Генеральный директор,направлен предложен внесен изменен структур направлен деятельн наименован рабоч групп нацональн совет, 
Артемьев И.А.,"ГБПОУ ""Московский государственный образовательный комплекс""",Крайчинская С.Б.,Вопросы повышения квалификации,перенос дат обучен компетенц графическ дизайн, 
Артемьев И.А.,"ГБПОУ ""Московский государственный образовательный комплекс""",Тымчиков А.Ю.,Сертификация экспертов WS,участ компетенц интернет-маркетинг чемпионат Hi-Tech, 
Кудряшов С.В.,Министерство образования и молодежной политики Чувашской республики,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен бюллетен заочн голосован вопрос избран председател президиум региональн совет союз, 
Басюк В.С.,Российская академия образования,Уразов Р.Н.,Генеральный директор,приглашен форум воспитан детей-инвестиц будущ !, 
Васильева О.Ю.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,согласован проект постановлен правительств рф утвержден прав предоставлен союз субсид реализац проект билет будущ, 
Пилипенко О.В.,Орловский государственный университет имени И.С. Тургенева,Лысова С.И.,Вузовские чемпионаты,участ представител университет мероприят EuroSkills 2018, 
Щелкун Н.И.,РКЦ Хабаровского края,Уразов Р.Н.,Генеральный директор,развит сотрудничеств стран асеа, 
Никитин А.С.,Губернатор Новгородской области,Глушко Д.Е.,Специалист по региональным чемпионатам,проведен молодежн образовательн форум новгородск област, 
Ищенко Е.Г.,Национальный институт финансовых рынков и управления,Мухаметзянов Д.Ф.,Административный директор,претенз неоплат фактическ выполнен работ разработк комплект оценочн документац проведен дэ, 
Гордина-Невмержицкая И.И.,Агенство стратегических инициатив по продвижению новых проектов,Уразов Р.Н.,Генеральный директор,предоставлен материал популяризац повышен престиж рабоч професс телевиден сет интернет друг сми такж аналитическ справк фнч-2018 _____________________________________ перечен поручен президент росс 21 сен 2015 год № пр-1921 п. 1ж, 
Мисиров Б.Х.,"ПАО ""МРСК Северного Кавказа""",Крайчинская С.Б.,Вопросы повышения квалификации,направлен акт оказан услуг, 
Месхи Б.Ч.,Донской государственный технический университет,Уразов Р.Н.,Генеральный директор,внесен изменен регламент проведен региональн чемпионат 2019/2020 цел возможн участ обуча образовательн организац спо явля структурн подразделен образовательн организац высш образован наравн друг участник чемпионат, 
Шпильман В.И.,"ООО ""Майс Лайн""",Лысова С.И.,Вузовские чемпионаты,предоставлен информац проведен межвузовск отборочн соревнован, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,проведен 27-28 авг 2018 г. расширен заседан федеральн учебно-методическ объединен, 
Орлова Н.А.,"АНО ""Национальный центр трудовой славы""",Гонтарь М.А.,Поздравления,направлен нов выпуск альманах врем росс,журна переда адресат 14.08.2018
Гуськов И.А.,Правительство Ростовской области,Глушко Д.Е.,Специалист по региональным чемпионатам,подписан соглашен проведен отборочн соревнован участ финал национальн чемпионат молод профессионал WorldSkills Russia 2019-2021г.г, 
Куликов Д.А.,Министерство образования тверской области,Саликова К.В.,Административный директор,-об участ финал VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Курдюмов Д.А.,Правительство Кировской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ чемпионат европ профессиональн мастерств EuroSkills 2018, 
Гринцевич И.В.,"ФГБОУ ВО ""Южно-Российский государственный политехнический университет",Митяева И.В.,Административный директор,направлен акт сверк,оригинал переда бухгалтер 14.08.2018
Кольцов В.С.,Администрация губернатора Ханты-Мансийкого автономного округа ЮГРА,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Теплоухова Л.З.,Заместитель Губернатора Тюменской области,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Теплоухова Л.З.,Заместитель Губернатора Тюменской области,Глушко Д.Е.,Специалист по региональным чемпионатам,формирован делегац российск федерац рамк чемпионат европ профессиональн мастерств EuroSkills 2018, 
Грязнова И.Н.,"ГБПОУ ""Хакасский колледж профессиональных, технологий, экономики и сервиса""",Крайчинская С.Б.,Вопросы повышения квалификации,направлен оригина договор акт дог 652/3,приложен сшит переда академ
Анисимов Н.Ю.,Дальневосточный федеральный университет,Глушко Д.Е.,Специалист по региональным чемпионатам,приказ пилотн апробац проведен демэкзам стандарт WorldSkills владивосток, 
Баринов И.А.,Правительство Калининградской области,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018, 
Оборотов В.Н.,Правительство Брянской области,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018, 
Десятов Н.В.,"ГАПОУ СО ""Уральский политехнический колледж - МЦК""",Тымчиков А.Ю.,Сертификация экспертов WS,готовн сдач тренировочн полигон, 
Щетинкина О.С.,Министерство образования Рязанской области,Уразов Р.Н.,Генеральный директор,приглашен стратегическ сесс педагогическ форум систем образован ресурс развит человеческ капита услов цифровизац образован 22.08.2018 г.рязан, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен информац размещен материал популяризац повышен престиж рабоч професс сми пр-1921, 
Слюсарь С.В.,"АО ""Приокский завод цветных металлов""",Никул Е.В.,Новые компитненции,рассмотрен возможн участ специалист компетенц лабораторн химическ анализ, 
Бурганов Р.Т.,Министерство образования и науки Республики Татарстан,Уразов Р.Н.,Генеральный директор,рассмотрен возможн подписан соглашен, 
Матушанский А.В.,43. Министерство промышленности и торговли Российской Федерации,Уразов Р.Н.,Генеральный директор,участ сесс компетенц XXI век : прокача сво скиллз !, 
Шевцова Т.А.,Департамент образования Орловской области,Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Щетинкина О.С.,Министерство образования Рязанской области,Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Фурсин А.А.,"Департамент науки, промышленной политики и предпринимательства города Москвы",Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Говорунов А.Н.,Вице-Губернатор Санкт-Петербурга,Уразов Р.Н.,Генеральный директор,приглашен форум IT-диалог 2018 цифров равенств регион 20-21.09.2018, 
Пашкунова А.,Республика Крым Совет Министров,Саликова К.В.,Административный директор,участ финал VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Савченко Т.А.,Заместитель Председателя Правительства Магаданской области,Саликова К.В.,Административный директор,участ финал IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Саликова К.В.,Административный директор,участ финал VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 кириллов в.в, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Саликова К.В.,Административный директор,участ финал VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 полтавченк г.с, 
Хоменко М.В.,УФССП по Липецкой области Советский РОСП,Уразов Р.Н.,Генеральный директор,обращен взыскан заработн плат ин доход должник, 
Гашкина С.А.,Министерство финансов Российской Федерации,Глушко Д.Е.,Специалист по региональным чемпионатам,предоставлен кандидатур включен соста рабоч групп разработк программ наслед, 
Потехина И.П.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,протокол совещан заместител министр образован наук рф и.п. потехин сколков + наслед + 750-р+580, 
Картошкин С.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен информац обеспечен поэтапн участ студент количеств образовательн организац спо протокол заседан оргкомитет 28.06.2016 № 3, 
Бабинцев Г.В.,Национальная технологическая инициатива «Аэронет»,Уразов Р.Н.,Генеральный директор,проведен перв отраслев чемпионат аэронет-Sкиллс компетенц управлен бас, 
Гутман В.А.,Министерство образования и науки Астраханской области,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,согласован проект распоряжен предусматрива внесен изменен распоряжен правительств росс 22 апр 2016 г. № 750-р утвержден план подготовк проведен казан 2019 год миров чемпионат профессиональн мастерств ворлдскиллс, 
Усс А.В.,Губернатор Красноярского края,Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Татаренко П.С.,Министерство образования Новгородской области,Уразов Р.Н.,Генеральный директор,приглашен педагогическ совещан образован : проектиру будущ 22 август 2018г. велик новгород, 
Мурашова Н.А.,Министерство образования Сахалинской области,Саликова К.В.,Административный директор,выделен дополнительн квот участ фнч, 
Сизов В.Н.,Министерство экономического развития Ставропольского края,Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Кобяков А.А.,Советник Президента Российской Федерации - Кобяков А.А.,Уразов Р.Н.,Генеральный директор,приглашен IV восточн экономическ форум владивосток, 
Романова Е.В.,ГК «Ростех»,Никул Е.В.,Новые компитненции,включен компетенц рекрутер перечен компетенц чемпионат Hi-Tech, 
Пашкунова А.,Республика Крым Совет Министров,Уразов Р.Н.,Генеральный директор,реализац мероприят программ наслед миров чемпионат республик крым 750-р, 
Абросимов Д.В.,"ОАО ""НТП ""Авиатест""","Саликова К.В.
Мухаметзянов Д.Ф.",Административный директор,направлен договор, 
Глазков А.В.,"АО ""НПО автоматики""",Никул Е.В.,Новые компитненции,направлен акт сдачи-приемк, 
Исаев Ю.Н.,"""Центр молодежных инициатив"" Министерство образования и молодежной политики Чувашской Республики",Глушко Д.Е.,Специалист по региональным чемпионатам,приказ пилотн апробац проведен демэкзам чувашск республик, 
Усиков А.И.,Заместитель Председателя Правительства Орловской области по социальной политике,Глушко Д.Е.,Специалист по региональным чемпионатам,предоставлен отсрочк арм, 
Сивак В.И.,Министерство образования и молодежной политики Камчатского края,Глушко Д.Е.,Специалист по региональным чемпионатам,регистрац делов программ фина VI национальн чемпионат молод профессионал WorldSkills Russia, 
Шевелева А.А.,Министерство образования Тульской области,Глушко Д.Е.,Специалист по региональным чемпионатам,формирован делегац российск федерац рамк чемпионат европ профессиональн мастерств EuroSkills 2018, 
Астафьева Н.Е.,Администрация Тамбовской обл.,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Кольгин В.В.,"ООО ""СКАЙЛЭНД""",Мухаметзянов Д.Ф.,Административный директор,расшифровк оценк заявк участ закупочн процедур оказан услуг направлен сотрудник командировк, 
Зарипов А.Р.,"Республиканское агентство по печати и массовым коммуникациям ""Татмедиа""",Уразов Р.Н.,Генеральный директор,закупк офсетн печатн машин, 
Гутман В.А.,Министерство образования и науки Астраханской области,Саликова К.В.,Административный директор,исключен ноздрин н.н. программ соревнован фнч, 
Адамова Н.В.,Министерство образования и науки республики Марий Эл,Саликова К.В.,Административный директор,участ ммероприят фнч республик мар эл, 
Орлов А.В.,Правительство Свердловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,проведен отборочн соревнован территор свердловск област, 
Иванов О.А.,"ООО ""Научно-технический центр Защищенные мобильные комплексы и системы""",Уразов Р.Н.,Генеральный директор,приглашен стенд 1F3-3 выставк армия-2018, 
Ховрат С.В.,Агентство по развитию человеческого капитала на Дальнем Востоке,Уразов Р.Н.,Генеральный директор,участ IV восточн экономическ форум, 
Михеев И.А.,Министерство образования и науки РФ. Департамент государственной политики в сфере воспитания детей и молодежи,Уразов Р.Н.,Генеральный директор,направлен результат экспертиз, 
Ялов Д.А.,Правительство Ленинградской области,Саликова К.В.,Административный директор,участ делов программ фнч, 
Шихалёв В.М.,Правительство Хабаровского края,Уразов Р.Н.,Генеральный директор,организац проведен фина национальн чемпионат молод профессионал 2020 год 349-р, 
Лесовой С.Ф.,"Национальный исследовательский университет ""Высшая школа экономики""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен комерческ предложен, 
Житиневич Д.Г.,"ФГАОУ ВО ""Балтийский Федеральный Университет имени Иммануила Канта""",Глушко Д.Е.,Специалист по региональным чемпионатам,изменен срок проведен демэкзам, 
Попов А.А.,Министерство образования и науки Республики Саха,Глушко Д.Е.,Специалист по региональным чемпионатам,кадров перестановк региональн координацион центр республик сах, 
Хайдуков Д.С.,"ООО ""ДМГ МОРИ Рус""",Уразов Р.Н.,Генеральный директор,неисправн оборудован принят мер обеспечен ег сохран, 
Хайдуков Д.С.,"ООО ""ДМГ МОРИ Рус""",Уразов Р.Н.,Генеральный директор,создан комисс определен техническ состоян оборудован 02.08.2018г, 
Федорчук С.В.,"Министерство образования, науки и инновационной политики Новосибирской области",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен проект соглашен шаблон сопроводительн письм, 
Аникеев А.С.,Министерство образования и науки Калужской области,Саликова К.В.,Административный директор,приглашен фина VI национальн чемпионат молод профессионал WorldSkills Russia – 2018 повторн, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Глушко Д.Е.,Специалист по региональным чемпионатам,формирован делегац российск федерац рамк чемпионат европ профессиональн мастерств EuroSkills 2018, 
Томских А.А.,"Министерство образования, науки и молодежной политики Забайкальского края",Саликова К.В.,Административный директор,участ финал IV национальн чемпионат забайкальск кра, 
Серкова И.А.,Министерство общего и профессионального образования Свердловской области,Досканова А.В.,Участие в выставках,предварительн состав делегац чемпионат европ, 
Пальталлер Р.Р.,Правительство Республики Алтай,Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Симонова Г.Н.,"БПОУ Орловской области ""Орловский техникум путей сообщения имени В.А. Лапочкина""",Глушко Д.Е.,Специалист по региональным чемпионатам,выделен денежн среств приобретен тренажерн комплекс, 
Непогода Л.И.,Региональный координационный центр Брянской области,Глушко Д.Е.,Специалист по региональным чемпионатам,разработк электрон ресурс платформ проект билет будущ, 
Куликов Д.А.,Министерство образования тверской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован дат проведен IV региональн чемпионат, 
Ажгиревич А.И.,"ОООР ""Союз Машиностроителей России""",Крайчинская С.Б.,Вопросы повышения квалификации,приглашен заседан совет профессиональн квалификац машино- авиастроен 23 август 2018г, 
Голиков А.И.,"ФГАОУ ВО ""Северо-Восточный федеральный университет имени М.К. Аммосова""",Саликова К.В.,Административный директор,участ мероприят чемпионат европ профессиональн мастерств EuroSkills 2018, 
Злобин С.В.,Министерство образования Нижегородской области,Уразов Р.Н.,Генеральный директор,результат заседан рабоч групп подготовк проведен региональн чемпионат рамк движен молод профессионал, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,проведен рабоч совещан вопрос апробац демэкзам 3 август 2018 г, 
Мартыненко А.,Правительство Российской Федерации,Уразов Р.Н.,Генеральный директор,предоставлен информац участник совещан вопрос ход подготовк проведен европейск чемпионат профессиональн мастерств EuroSkills 2022, 
Лейбович А.Н.,Национальное агентство развития квалификации,Суперекин И.Ю.,Административный директор,направлен информац рамк исполнен п.14 распоряжен правительств 22.04.2016 № 750-р разработк реализац программ наслед миров чемпионат профессиональн мастерств, 
Цуцков С.К.,"Филиал ПАО ""Компания ""Сухой"" ""НАЗ им. В.П. Чкалова""",Саликова К.В.,Административный директор,направлен дубликат товарн накладн, 
Дурдиев Х.Ш.,"Всероссийский детский центр ""Смена""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен график проведен мероприят подготовк национальн сборн оста период 2018 год соответств техническ задан, 
Дурдиев Х.Ш.,"Всероссийский детский центр ""Смена""","Глушко Д.Е.
Уразов Р.Н.",Административный директор,реализац программ профильн смен ворлдскиллс росс юниор, 
Игнатьева Л.В.,Государственное автономное профессиональное образовательное учреждение Республики Саха,Глушко Д.Е.,Специалист по региональным чемпионатам,утвержден состав совет движен молод профессионал республик сах, 
Колбин Н.И.,"ПАО ""Трубная металлургическая компания""",Никул Е.В.,Новые компитненции,участ па тмк чемпионат WorldSkills Hi-tech 2018, 
Король А.М.,Министерство образования и науки Хабаровского края,Глушко Д.Е.,Специалист по региональным чемпионатам,участ августовск научно-практическ конференц педагогическ работник образован конкурентн преимуществ хабаровск кра, 
Савченко Т.А.,"МКУ ""Управление капитального строительства города Белогорска""",Саликова К.В.,Административный директор,приглашен фина IV национальн чемпионат молод профессионал WorldSkills Russia 2018, 
Божкова О.В.,Региональный координационный центр в Псковской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован срок проведен региональн чемпионат псковск област, 
Бакирей А.С.,Министерство транспорта Российской Федерации,Уразов Р.Н.,Генеральный директор,приглашен соста оргкомитет проведен всероссийск конкурс профессиональн мастерств водител лучш водител грузовик, 
Калинин А.Ф.,Региональный координационный центр в Орловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,разработк электрон ресурс платформ проект билет будущ, 
